X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288, -30.78, 0, -46.281, 157.46, 6975, 198, 198, 16
-19.288, -30.28, 0, -47.316, -73.966, 6975, 173, 173, 13
-19.288, -29.78, 0, -50.129, 122.58, 6976, 214, 214, 20
-19.288, -29.28, 0, -49.089, -19.13, 6976, 208, 208, 19
-19.288, -28.78, 0, -53.996, 150.62, 6977, 188, 188, 16
-18.788, -34.28, 0, -46.471, 159.19, 6973, 162, 162, 17
-18.788, -33.78, 0, -51.949, 108.15, 6973, 162, 162, 14
-18.788, -33.28, 0, -52.691, -36.933, 6972, 162, 162, 14
-18.788, -32.78, 0, -46.741, 83.287, 6972, 175, 175, 16
-18.788, -32.28, 0, -69.194, 126.05, 6975, 170, 170, 15
-18.788, -31.78, 0, -54.186, 163.53, 6978, 178, 178, 16
-18.788, -31.28, 0, -46.748, -31.303, 6975, 164, 164, 13
-18.788, -30.78, 0, -53.878, 114.92, 6975, 191, 191, 17
-18.788, -30.28, 0, -53.215, 122.98, 6975, 179, 179, 15
-18.788, -29.78, 0, -58.395, -96.588, 6975, 177, 177, 14
-18.788, -29.28, 0, -47.997, 148.41, 6975, 223, 223, 21
-18.788, -28.78, 0, -46.094, -30.031, 6976, 199, 199, 17
-18.288, -34.28, 0, -56.905, -65.882, 6972, 143, 143, 14
-18.288, -33.78, 0, -58.005, 157.16, 6973, 162, 162, 18
-18.288, -33.28, 0, -48.985, 118.5, 6972, 164, 164, 16
-18.288, -32.78, 0, -56.09, -94.039, 6972, 156, 156, 12
-18.288, -32.28, 0, -51.72, 31.052, 6972, 166, 166, 16
-18.288, -31.78, 0, -52.785, 36.132, 6974, 180, 180, 18
-18.288, -31.28, 0, -49.73, 118.98, 6978, 159, 159, 14
-18.288, -30.78, 0, -47.896, -84.779, 6978, 158, 158, 14
-18.288, -30.28, 0, -53.807, 41.463, 6975, 154, 154, 14
-18.288, -29.78, 0, -51.434, 131.36, 6975, 174, 174, 15
